GPSTime,Left T2C (deg C),Left NG (%),Left IGV (deg)
9/26/2011 14:03,55.39612,89.24063,29.81383
9/26/2011 14:03,55.36551,89.30758,29.75557
9/26/2011 14:03,55.36551,89.50903,29.56712
9/26/2011 14:03,55.29666,89.57637,29.53314
9/26/2011 14:03,55.29666,89.57637,29.62413
9/26/2011 14:03,55.40585,89.57637,29.52257
9/26/2011 14:03,55.40585,89.57637,29.62092
9/26/2011 14:03,55.33902,89.57637,29.63858
9/26/2011 14:03,55.33902,89.57637,29.59175
9/26/2011 14:03,55.39661,89.64382,29.56832
9/26/2011 14:03,55.39661,89.64382,29.61422
9/26/2011 14:03,55.44702,89.50903,29.60561
9/26/2011 14:03,55.44702,89.50903,29.59867
9/26/2011 14:03,55.39532,89.71138,29.64455
9/26/2011 14:03,55.39532,89.84679,29.36203
9/26/2011 14:03,55.46741,89.91465,29.38692
9/26/2011 14:03,55.46741,89.91465,29.41124
9/26/2011 14:03,55.71576,89.91465,29.43945
9/26/2011 14:03,55.71576,89.84679,29.41523
9/26/2011 14:03,55.90167,89.84679,29.44323
9/26/2011 14:03,55.90167,89.91465,29.46777
9/26/2011 14:03,55.87418,89.84679,29.44201
9/26/2011 14:03,55.87418,89.84679,29.39083
9/26/2011 14:03,55.79135,89.84679,29.38332
9/26/2011 14:03,55.79135,89.91465,29.41549
9/26/2011 14:03,55.89182,89.84679,29.34057
9/26/2011 14:03,55.89182,89.84679,29.41222
9/26/2011 14:03,55.79913,89.91465,29.36544
9/26/2011 14:03,55.79913,89.84679,29.42199
9/26/2011 14:03,55.77066,89.84679,29.46857
9/26/2011 14:03,55.77066,89.84679,29.39169
9/26/2011 14:03,56.01465,89.91465,29.48045
9/26/2011 14:04,56.01465,89.91465,29.41464
9/26/2011 14:04,56.04395,89.98261,29.36917
9/26/2011 14:04,56.04395,89.84679,29.34709
9/26/2011 14:04,56.04089,89.91465,29.46445
9/26/2011 14:04,56.04089,89.98261,29.42284
9/26/2011 14:04,55.98386,90.46124,28.87841
9/26/2011 14:04,55.98386,90.66794,28.71553
9/26/2011 14:04,56.32693,91.29371,28.25219
9/26/2011 14:04,56.32693,91.50423,28.15241
9/26/2011 14:04,57.10427,91.43394,28.22678
9/26/2011 14:04,57.10427,92.4278,27.48406
9/26/2011 14:04,58.05469,92.64358,27.2649
9/26/2011 14:04,58.05469,92.71573,27.25778
9/26/2011 14:04,59.19773,92.78799,27.05495
9/26/2011 14:04,59.19773,92.71573,27.38744
9/26/2011 14:04,59.81716,92.71573,27.45807
9/26/2011 14:04,59.81716,92.57154,27.36706
9/26/2011 14:04,60.25946,92.57154,27.24655
9/26/2011 14:04,60.25946,92.71573,27.46868
9/26/2011 14:04,60.53673,92.57154,27.45625
9/26/2011 14:04,60.53673,92.57154,27.58475
9/26/2011 14:04,60.78444,92.57154,27.43958
9/26/2011 14:04,60.78444,92.57154,27.51612
9/26/2011 14:04,60.85941,92.64358,27.42644
9/26/2011 14:04,60.85941,92.57154,27.53607
9/26/2011 14:04,60.92634,92.64358,27.42821
9/26/2011 14:04,60.92634,92.64358,27.23478
9/26/2011 14:04,60.97077,92.57154,27.4823
9/26/2011 14:04,60.97077,92.64358,27.51336
9/26/2011 14:04,60.92636,92.71573,27.52056
9/26/2011 14:04,60.92636,92.57154,27.39169
9/26/2011 14:04,61.04486,92.57154,27.5162
9/26/2011 14:04,61.04486,92.57154,27.39571
9/26/2011 14:04,60.8387,92.57154,27.48322
9/26/2011 14:04,60.8387,92.57154,27.52617
9/26/2011 14:04,60.88829,92.71573,27.45701
9/26/2011 14:04,60.88829,92.57154,27.4997
9/26/2011 14:04,60.92671,92.64358,27.51334
9/26/2011 14:04,60.92671,92.71573,27.45865
9/26/2011 14:04,61.07399,92.64358,27.55604
9/26/2011 14:04,61.07399,92.64358,27.52432
9/26/2011 14:04,61.20274,92.64358,27.50974
9/26/2011 14:04,61.20274,92.71573,27.53765
9/26/2011 14:04,61.39202,92.57154,27.55547
9/26/2011 14:04,61.39202,92.49961,27.52836
9/26/2011 14:04,61.16476,92.07038,27.95641
9/26/2011 14:04,61.16476,92.14164,27.92959
9/26/2011 14:04,60.75808,91.78643,27.98447
9/26/2011 14:04,60.75808,91.22375,28.59351
9/26/2011 14:04,60.05449,91.15391,28.69783
9/26/2011 14:04,60.05449,90.32397,29.38337
9/26/2011 14:04,59.14255,90.18712,29.41661
9/26/2011 14:04,59.14255,90.18712,29.30337
9/26/2011 14:04,58.41626,90.25549,29.27084
9/26/2011 14:04,58.41626,90.25549,29.28653
9/26/2011 14:04,57.92877,90.25549,29.29768
9/26/2011 14:04,57.92877,90.32397,29.24878
9/26/2011 14:05,57.79074,90.32397,29.22312
9/26/2011 14:05,57.79074,90.25549,29.23679
9/26/2011 14:05,57.63586,90.25549,29.22912
9/26/2011 14:05,57.63586,90.25549,29.17309
9/26/2011 14:05,57.56403,90.32397,29.25338
9/26/2011 14:05,57.56403,90.25549,29.16078
9/26/2011 14:05,57.31607,90.46124,29.0075
9/26/2011 14:05,57.31607,90.46124,29.10983
9/26/2011 14:05,57.36813,90.80625,28.78251
9/26/2011 14:05,57.36813,90.73705,28.6888
9/26/2011 14:05,57.36444,90.73705,28.76047
9/26/2011 14:05,57.36444,90.80625,28.76267
9/26/2011 14:05,57.39926,90.80625,28.76047
9/26/2011 14:05,57.39926,90.87557,28.6422
9/26/2011 14:05,57.28937,90.80625,28.72521
9/26/2011 14:05,57.28937,90.80625,28.64816
9/26/2011 14:05,57.23697,90.73705,28.58309
9/26/2011 14:05,57.23697,90.73705,28.72866
9/26/2011 14:05,57.05008,90.73705,28.66555
9/26/2011 14:05,57.05008,90.66794,28.70765
9/26/2011 14:05,56.85101,90.73705,28.6837
9/26/2011 14:05,56.85101,90.80625,28.70249
9/26/2011 14:05,56.6178,90.66794,28.65726
9/26/2011 14:05,56.6178,90.66794,28.63349
9/26/2011 14:05,56.38077,91.08416,28.81918
9/26/2011 14:05,56.38077,94.70724,26.41928
9/26/2011 14:05,57.71034,95.16147,24.88313
9/26/2011 14:05,57.71034,95.08546,25.24679
9/26/2011 14:05,60.20524,95.00957,25.47782
9/26/2011 14:05,60.20524,94.85817,25.41448
9/26/2011 14:05,61.36875,94.55679,25.20445
9/26/2011 14:05,61.36875,94.55679,25.75549
9/26/2011 14:05,61.93158,94.25732,25.43568
9/26/2011 14:05,61.93158,94.48174,25.78389
9/26/2011 14:05,62.28101,94.63196,25.83331
9/26/2011 14:05,62.28101,94.63196,25.76656
9/26/2011 14:05,62.53629,94.55679,25.87727
9/26/2011 14:05,62.53629,94.70724,25.85922
9/26/2011 14:05,62.29534,94.48174,26.22185
9/26/2011 14:05,62.29534,94.55679,25.63694
9/26/2011 14:05,61.54811,91.71571,26.72158
9/26/2011 14:05,61.54811,87.79277,30.62068
9/26/2011 14:05,58.79544,87.15007,31.68454
9/26/2011 14:05,58.79544,88.3138,30.94397
9/26/2011 14:05,54.52649,88.11769,30.44939
9/26/2011 14:05,54.52649,88.05251,30.44339
9/26/2011 14:05,52.67917,88.05251,30.42468
9/26/2011 14:05,52.67917,88.57664,30.29922
9/26/2011 14:05,51.9418,91.36378,27.66539
9/26/2011 14:05,51.9418,87.92245,28.72409
9/26/2011 14:05,52.67917,87.98743,30.42468
9/26/2011 14:05,52.67917,87.98743,30.42468
9/26/2011 14:05,52.586,78.37196,40.93406
9/26/2011 14:05,52.586,72.41302,50.53123
9/26/2011 14:05,46.30032,67.71729,56.00137
9/26/2011 14:05,46.30032,64.21089,57.65988
9/26/2011 14:05,46.30032,67.29621,56.00137
9/26/2011 14:05,39.4855,61.49122,58.8379
9/26/2011 14:05,39.4855,59.34546,59.86126
9/26/2011 14:06,35.73077,57.90224,60.60661
9/26/2011 14:06,35.73077,56.66207,61.12374
9/26/2011 14:06,35.73077,57.70577,60.60661
9/26/2011 14:06,33.94928,55.65545,61.48835
9/26/2011 14:06,33.94928,54.91098,61.79052
9/26/2011 14:06,32.81705,54.26025,62.07935
9/26/2011 14:06,32.81705,53.69734,62.20054
9/26/2011 14:06,32.81705,54.18616,62.07935
9/26/2011 14:06,32.15845,53.02762,62.22222
